District,Dem2018,Rep2018,state,party,voteshare,TRUMP.SCORE,Inc_fname,Inc_lname,inc_year_elected,inc_birth,inc_gender,inc_race,inc_religion,inc_lgbtq,inc_2016status,Clinton_2016,Trump_2016,Obama_2012,Romney_2012,Obama_2008,McCain_2008,HouseD_2016,HouseR_2016,HouseR_2014,HouseR_2012,White,Black,Latino,Asian,Native,Other,BA,BA_WHite,Med_Income,Inc_F,Rep.forecast
AK-1,45.8,53.7,AK,R,51.39,93.5,Don,Young,1973 Special,1933,Man,White - Non-Hispanic,Christian - Episcopalian,No,Re-elected,37.6,52.8,41.2,55.3,38.1,59.7,36.0,50.3,51.0,69.1,67.9,3.1,5.4,5.0,13.0,5.6,29.6,36.7,76440,0,51.39
AL-1,36.7,63.2,AL,R,65.84,96.8,Bradley,Byrne,2016,1955,Man,White - Non-Hispanic,Christian - Episcopalian,No,Re-elected,34.1,63.5,37.4,61.8,38.5,60.9,0.0,96.4,68.2,100.0,68.7,26.5,1.8,0.9,1.0,1.1,24.0,27.7,47083,0,65.84
AL-2,38.4,61.4,AL,R,57.86,96.7,Martha,Roby,2010,1976,Woman,White - Non-Hispanic,Christian - Presbyterian,No,Re-elected,33.0,64.9,36.4,62.9,35.0,64.5,40.5,48.8,67.3,63.7,66.1,29.9,1.8,0.7,0.4,1.1,21.8,24.2,42035,1,57.86
AL-3,36.0,63.9,AL,R,62.03,96.8,Mike,Rogers,2002,1958,Man,White - Non-Hispanic,Christian - Baptist,No,Re-elected,32.3,65.3,36.8,62.3,36.6,62.6,32.9,66.9,66.1,64.1,71.4,25.1,1.7,0.7,0.3,0.9,22.8,23.7,46544,0,62.03
AL-4,20.1,79.8,AL,R,76.97,97.8,Robert,Aderholt,1996,1965,Man,White - Non-Hispanic,Christian - Congregationalist,No,Re-elected,17.4,80.4,24.0,74.8,25.5,73.3,0.0,98.5,98.6,74.1,88.8,6.9,1.8,0.5,0.7,1.3,17.0,17.8,41110,0,76.97
AL-5,38.9,61.1,AL,R,63.44,84.3,Mo,Brooks,2010,1954,Man,White - Non-Hispanic,Christian - Nondenominational,No,Re-elected,31.3,64.7,34.9,63.9,36.3,62.6,33.2,66.7,74.4,65.0,77.3,17.1,2.2,1.1,0.6,1.6,30.3,31.0,51690,0,63.44
AL-6,30.7,69.2,AL,R,67.67,93.4,Gary,Palmer,2014,1954,Man,White - Non-Hispanic,Christian - Presbyterian,No,Re-elected,26.1,70.8,24.7,74.3,25.0,74.1,25.4,74.5,76.2,71.3,81.8,14.4,1.6,1.0,0.2,0.9,36.7,38.2,61413,0,67.67
AR-1,28.7,69.1,AR,R,62.71,97.8,Rick,Crawford,2010,1966,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Re-elected,30.2,65.0,36.3,61.0,39.2,58.0,0.0,76.3,63.3,59.0,79.6,16.9,1.8,0.3,0.4,1.1,16.5,17.6,40492,0,62.71
AR-2,45.8,52.1,AR,R,51.99,96.7,French,Hill,2014,1956,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,41.7,52.4,42.9,54.7,44.3,53.8,36.8,58.3,51.9,58.3,73.7,21.2,2.4,1.0,0.3,1.4,30.0,32.5,49498,0,51.99
AR-3,32.5,64.9,AR,R,61.45,98.9,Steve,Womack,2010,1957,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Re-elected,30.5,61.9,31.6,65.5,33.9,63.9,0.0,77.3,79.4,100.0,86.2,2.9,5.9,1.9,1.1,2.0,26.9,28.8,47903,0,61.45
AR-4,31.3,66.7,AR,R,62.05,93.5,Bruce,Westerman,2014,1967,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Re-elected,31.3,64.2,35.9,61.8,37.4,59.9,0.0,74.9,53.7,61.9,76.5,19.1,2.2,0.4,0.6,1.2,15.8,17.0,39586,0,62.05
AZ-1,53.9,46.1,AZ,D,54.18,53.8,Tom,O'Halleran,2016,1946,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Open - Ran for Senate and lost,46.6,47.7,47.9,50.4,47.8,51.0,50.7,43.4,47.4,48.1,56.1,2.2,17.1,1.3,21.8,1.6,24.5,34.2,50537,0,45.82
AZ-3,63.4,36.6,AZ,D,69.52,8.6,Raúl,Grijalva,2002,1948,Man,Hispanic - Mexican,Christian - Roman Catholic,No,Re-elected,62.4,32.5,61.4,36.9,58.2,40.7,88.1,0.0,44.2,38.9,37.5,5.0,51.1,1.7,3.5,1.3,16.5,26.9,44224,0,30.48
AZ-4,30.5,68.2,AZ,R,62.6,79.3,Paul,Gosar,2010,1958,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,27.5,67.7,31.0,67.2,34.4,64.2,28.5,71.5,70.0,70.2,81.8,1.7,12.6,1.1,1.5,1.4,19.2,20.5,49466,0,62.6
AZ-5,40.6,59.4,AZ,R,63.81,74.2,Andy,Biggs,2016,1958,Man,White - Non-Hispanic,Christian - Mormon,No,Open - Retired,36.5,57.6,34.6,63.8,36.3,62.6,35.9,64.1,69.6,67.2,78.0,2.9,13.3,3.7,0.8,1.4,36.0,37.5,71693,0,63.81
AZ-6,44.7,55.3,AZ,R,54.72,90.3,David,Schweikert,2010,1962,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,42.4,52.4,38.8,59.5,41.2,57.7,37.9,62.1,64.9,64.8,81.4,2.5,10.3,3.0,1.4,1.4,45.4,48.5,67830,0,54.72
AZ-8,44.4,55.6,AZ,R,52.29,95.5,Debbie,Lesko,2018 Special,1958,Woman,White - Non-Hispanic,None,No,Re-elected,37.0,58.1,36.9,61.7,38.4,60.6,0.0,68.5,75.8,64.4,76.2,4.2,14.6,2.7,0.7,1.5,29.4,31.3,61754,1,52.29
CA-1,44.7,55.3,CA,R,53.02,96.7,Doug,LaMalfa,2012,1960,Man,White - Non-Hispanic,Christian - Protestant,No,Re-elected,36.5,56.2,40.3,56.6,41.8,53.0,40.9,59.1,61.0,57.4,82.7,1.5,9.4,2.2,1.5,2.7,23.7,25.7,47488,0,53.02
CA-10,51.3,48.7,CA,R,47.54,97.8,Jeff,Denham,2010,1967,Man,White - Non-Hispanic,Christian - Presbyterian,No,Re-elected,48.5,45.5,50.6,47.0,49.9,47.2,48.3,51.7,56.1,52.7,55.6,3.5,30.8,6.8,0.5,2.8,16.6,21.0,60235,0,47.54
CA-11,73.2,26.8,CA,D,78.55,8.8,Mark,DeSaulnier,2014,1952,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,71.5,22.7,67.6,30.0,68.8,28.4,72.1,27.9,32.7,30.3,57.6,9.5,16.0,13.3,0.3,3.4,43.6,56.5,86000,0,21.45
CA-12,86.8,13.2,CA,D,90.84,19.3,Nancy,Pelosi,1986,1940,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,86.2,8.7,84.1,12.5,83.8,12.8,80.9,0.0,16.7,14.9,49.5,5.7,11.0,30.7,0.2,3.0,59.5,78.1,105918,1,9.16
CA-14,77.5,22.5,CA,D,83.57,19.3,Jackie,Speier,2008 Special,1950,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,76.9,18.2,74.2,23.6,73.4,23.6,80.9,19.1,23.3,21.1,42.9,3.6,17.3,33.2,0.2,2.7,47.5,56.9,103850,1,16.43
CA-15,72.2,27.8,CA,D,77.48,22.8,Eric,Swalwell,2012,1980,Man,White - Non-Hispanic,Christian - Protestant,No,Re-elected,69.9,24.2,68.0,29.8,67.0,30.1,73.8,26.2,30.2,0.0,43.9,7.0,17.1,28.7,0.3,3.0,45.0,47.1,106291,0,22.52
CA-16,56.6,43.4,CA,D,58.38,47.1,Jim,Costa,2004,1952,Man,White - Portuguese-American,Christian - Roman Catholic,No,Re-elected,58.0,36.4,58.6,39.4,57.1,39.9,58.0,42.0,49.3,42.6,34.6,7.6,46.1,9.3,0.6,1.8,12.2,21.3,40207,0,41.62
CA-17,75.1,24.9,CA,D,80.17,14.3,Ro,Khanna,2016,1976,Man,Asian - Indian,Hindu,No,Defeated,73.9,20.5,71.9,25.5,68.6,27.6,100.0,0.0,0.0,26.5,34.5,3.1,14.2,45.4,0.3,2.5,57.0,54.4,121150,0,19.83
CA-18,73.7,26.3,CA,D,78.76,18.2,Anna,Eshoo,1992,1942,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,73.4,20.2,68.2,28.9,69.8,26.9,71.1,28.9,32.2,29.5,65.2,2.0,11.7,18.3,0.2,2.6,61.5,65.1,125790,1,21.24
CA-19,73.4,26.6,CA,D,86.22,17.4,Zoe,Lofgren,1994,1947,Woman,White - Non-Hispanic,Christian - Lutheran,No,Re-elected,72.9,21.5,71.2,26.5,67.5,28.8,73.9,26.1,0.0,26.8,34.2,3.4,30.9,28.7,0.3,2.5,35.5,48.8,93139,1,13.78
CA-2,74.8,25.2,CA,D,81.07,14.6,Jared,Huffman,2012,1964,Man,White - Non-Hispanic,Unknown,No,Re-elected,69.0,23.3,69.0,27.0,71.4,25.4,76.9,23.1,25.0,28.8,80.6,1.6,9.7,3.4,1.8,2.9,40.8,45.9,66604,0,18.93
CA-21,49.0,51.0,CA,R,53.15,98.9,David,Valadao,2012,1977,Man,White - Portuguese-American,Christian - Roman Catholic,No,Re-elected,55.2,39.7,54.6,43.5,51.5,45.7,43.3,56.7,57.8,57.8,29.1,6.3,58.7,3.8,0.7,1.5,7.9,19.5,41174,0,53.15
CA-22,46.0,54.0,CA,R,55.23,98.9,Devin,Nunes,2002,1973,Man,White - Portuguese-American,Christian - Roman Catholic,No,Re-elected,42.6,52.1,41.6,56.6,42.3,55.3,32.4,67.6,72.0,61.9,51.7,3.2,35.6,7.1,0.5,1.8,24.1,31.6,56524,0,55.23
CA-23,34.9,65.1,CA,R,64.65,98.9,Kevin,McCarthy,2006,1965,Man,White - Non-Hispanic,Christian - Baptist,No,Re-elected,36.1,58.1,36.1,61.5,36.2,60.9,30.8,69.2,74.8,100.0,57.1,6.6,29.1,4.4,0.7,2.1,20.8,24.6,54437,0,64.65
CA-24,56.6,43.4,CA,D,58.48,36.0,Salud,Carbajal,2016,1964,Man,Hispanic - Mexican,Christian - Roman Catholic,No,Open - Retired,56.7,36.5,54.1,43.1,56.2,40.7,53.4,46.6,48.1,44.9,68.0,2.2,22.7,4.5,0.4,2.2,34.0,44.8,68929,0,41.52
CA-25,52.6,47.4,CA,R,48.79,98.9,Steve,Knight,2014,1966,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,50.3,43.6,47.8,49.7,48.7,48.1,46.9,53.1,100.0,54.8,52.4,8.1,29.0,7.7,0.3,2.5,27.8,33.3,75367,0,48.79
CA-26,60.1,39.9,CA,D,67.44,31.5,Julia,Brownley,2012,1952,Woman,White - Non-Hispanic,Christian - Episcopalian,No,Re-elected,57.9,36.0,54.0,43.7,56.1,41.0,60.4,39.6,48.7,47.3,57.0,2.1,32.0,6.6,0.3,2.0,34.1,46.3,76914,1,32.56
CA-28,77.4,22.6,CA,D,81.81,21.5,Adam,Schiff,2000,1960,Man,White - Non-Hispanic,Jewish,No,Re-elected,72.1,22.3,70.3,26.5,70.1,26.3,78.0,22.0,0.0,23.5,62.1,3.3,19.9,12.1,0.2,2.5,46.2,51.6,63940,0,18.19
CA-29,79.7,20.3,CA,D,81.23,16.9,Tony,Cardenas,2012,1963,Man,Hispanic - Mexican,Christian - Protestant,No,Re-elected,77.7,16.8,77.0,20.5,73.8,22.5,100.0,0.0,25.4,0.0,28.3,5.4,55.3,9.4,0.3,1.2,19.2,34.5,50655,0,18.77
CA-3,57.3,42.7,CA,D,65.3,27.2,John,Garamendi,2009 Special,1945,Man,White - Non-Hispanic,Christian - Protestant,No,Re-elected,53.0,40.4,54.3,43.1,54.9,42.3,59.4,40.6,47.3,45.8,58.8,6.8,19.6,10.5,0.8,3.5,25.1,28.5,61508,0,34.7
CA-30,72.5,27.5,CA,D,77.29,18.7,Brad,Sherman,1996,1954,Man,White - Non-Hispanic,Jewish,No,Re-elected,69.1,25.7,65.3,32.1,65.8,30.9,72.6,27.4,34.4,0.0,59.7,5.2,21.0,11.5,0.2,2.4,42.4,49.3,76778,0,22.71
CA-31,56.9,43.1,CA,D,63.17,26.4,Pete,Aguilar,2014,1979,Man,Hispanic - Mexican,Christian - Roman Catholic,No,Re-elected,57.7,36.6,57.2,40.6,55.6,40.7,56.1,43.9,48.3,100.0,35.2,12.0,43.3,7.2,0.3,2.1,22.7,33.7,58668,0,36.83
CA-32,67.4,32.6,CA,D,83.18,14.1,Grace,Napolitano,1998,1936,Woman,Hispanic - Mexican,Christian - Roman Catholic,No,Re-elected,66.6,27.7,65.2,32.5,62.0,34.5,100.0,0.0,40.3,34.3,22.6,3.5,54.3,18.1,0.3,1.3,21.4,30.6,67101,1,16.82
CA-33,69.2,30.8,CA,D,73.71,18.6,Ted,Lieu,2014,1969,Man,Asian - Chinese,Christian - Roman Catholic,No,Re-elected,67.8,26.5,60.6,36.8,64.1,32.9,66.4,33.6,40.8,46.0,71.1,2.9,11.0,11.9,0.2,2.9,65.4,68.1,101956,0,26.29
CA-35,67.4,32.6,CA,D,74.48,25.3,Norma,Torres,2014,1965,Woman,Hispanic - Guatemalan,Christian - Roman Catholic,No,Re-elected,67.7,26.9,67.4,30.6,64.1,32.3,72.4,27.6,0.0,0.0,21.8,8.8,59.8,7.3,0.3,2.0,16.1,23.8,57159,1,25.52
CA-36,57.1,42.9,CA,D,62.52,35.9,Raul,Ruiz,2012,1972,Man,Hispanic - Mexican,Christian - Seventh-Day Adventist,No,Re-elected,52.2,43.4,50.7,47.5,50.1,47.0,62.1,37.9,45.8,47.1,55.8,4.6,34.4,3.1,0.6,1.5,20.6,29.8,44567,0,37.48
CA-37,88.7,11.3,CA,D,90.64,10.7,Karen,Bass,2010,1953,Woman,Black - African-American,Christian - Baptist,No,Re-elected,85.7,9.6,84.9,12.7,84.3,12.8,100.0,0.0,15.7,13.6,32.3,29.5,25.7,10.0,0.2,2.4,36.9,66.6,55190,1,9.36
CA-38,67.5,32.5,CA,D,72.34,14.4,Linda,Sánchez,2002,1969,Woman,Hispanic - Mexican,Christian - Roman Catholic,No,Re-elected,67.0,27.4,64.9,33.0,61.1,35.2,70.5,29.5,40.9,32.5,22.8,4.4,55.4,15.9,0.4,1.1,23.5,25.6,66421,1,27.66
CA-4,45.3,54.7,CA,R,53.2,81.5,Tom,McClintock,2008,1956,Man,White - Non-Hispanic,Christian - Baptist,No,Re-elected,39.3,54.0,39.5,57.9,42.9,54.2,37.3,62.7,100.0,61.1,82.3,1.3,9.1,4.0,0.9,2.4,33.3,33.7,74074,0,53.2
CA-41,61.1,38.9,CA,D,68.0,16.5,Mark,Takano,2012,1960,Man,Asian - Japanese,Christian - Methodist,Gay,Re-elected,61.0,33.1,61.5,36.3,58.5,38.0,65.0,35.0,43.4,41.0,33.6,11.2,46.6,6.1,0.4,2.0,18.3,28.2,62069,0,32.0
CA-42,41.1,58.9,CA,R,57.78,98.9,Ken,Calvert,1992,1953,Man,White - Non-Hispanic,Christian - Episcopalian,No,Re-elected,41.4,53.4,41.4,56.5,43.0,53.9,41.2,58.8,65.7,60.6,52.2,5.9,30.0,9.0,0.4,2.5,25.0,27.4,76504,0,57.78
CA-43,76.4,23.6,CA,D,78.97,9.8,Maxine,Waters,1990,1938,Woman,Black - African-American,Christian - Protestant,No,Re-elected,78.4,16.7,78.0,20.0,75.2,21.8,76.1,23.9,29.0,0.0,20.6,28.7,33.9,13.8,0.2,2.8,26.5,46.2,54614,1,21.03
CA-45,50.1,49.9,CA,R,48.94,98.9,Mimi,Walters,2014,1962,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,49.8,44.4,43.0,54.8,46.3,50.6,41.4,58.6,65.1,58.5,60.9,1.9,14.2,20.4,0.2,2.5,56.0,56.5,97356,1,48.94
CA-46,66.2,33.8,CA,D,72.88,36.6,Lou,Correa,2016,1958,Man,Hispanic - Mexican,Christian - Roman Catholic,No,Open - Ran for Senate and lost,66.3,27.9,61.4,36.2,57.8,38.6,100.0,0.0,40.3,36.1,31.6,2.2,47.8,16.8,0.2,1.3,18.7,31.0,61304,0,27.12
CA-47,63.5,36.5,CA,D,68.25,15.4,Alan,Lowenthal,2012,1941,Man,White - Non-Hispanic,Jewish,No,Re-elected,62.6,31.0,60.0,37.5,57.9,38.6,63.7,36.3,44.0,43.4,41.5,8.3,24.7,22.5,0.4,2.6,32.0,43.2,65450,0,31.75
CA-48,52.3,47.7,CA,R,49.45,83.7,Dana,Rohrabacher,1988,1947,Man,White - Non-Hispanic,Christian - Baptist,No,Re-elected,47.9,46.2,43.0,54.7,45.9,50.8,41.7,58.3,64.1,61.0,64.1,1.3,14.3,18.0,0.3,2.1,44.6,52.2,88903,0,49.45
CA-50,47.0,53.0,CA,R,52.16,94.5,Duncan,Hunter,2008,1976,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Re-elected,39.6,54.6,37.6,60.4,39.1,58.0,36.5,63.5,71.2,67.7,67.3,2.9,20.8,5.7,0.8,2.5,28.2,33.5,71692,0,52.16
CA-51,68.9,31.1,CA,D,74.25,14.3,Juan,Vargas,2012,1961,Man,Hispanic - Mexican,Christian - Roman Catholic,No,Re-elected,71.8,22.8,69.4,28.9,65.0,31.7,72.8,27.2,31.2,28.5,20.7,8.5,59.3,9.4,0.5,1.5,14.1,26.6,46639,0,25.75
CA-52,62.8,37.2,CA,D,64.89,34.1,Scott,Peters,2012,1958,Man,White - Non-Hispanic,Christian - Lutheran,No,Re-elected,58.1,35.6,52.1,45.7,54.6,42.5,56.5,43.5,48.4,48.8,66.0,3.2,11.9,15.9,0.3,2.7,57.4,61.2,90854,0,35.11
CA-53,67.4,32.6,CA,D,69.21,19.6,Susan,Davis,2000,1944,Woman,White - Non-Hispanic,Jewish,No,Re-elected,64.5,29.6,61.4,36.4,60.7,36.4,67.0,33.0,41.2,38.6,48.9,8.3,26.6,12.9,0.3,3.0,37.8,48.1,69314,1,30.79
CA-7,54.3,45.7,CA,D,58.98,37.6,Ami,Bera,2012,1965,Man,Asian - Indian,Unitarian Universalist,No,Re-elected,52.3,40.9,50.8,46.8,51.4,45.9,51.2,48.8,49.6,48.3,61.6,7.6,13.0,13.7,0.5,3.5,32.9,34.1,68735,0,41.02
CA-9,55.4,44.6,CA,D,64.31,17.8,Jerry,McNerney,2006,1951,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,56.6,38.0,57.8,40.1,56.3,40.8,57.4,42.6,47.6,44.4,45.7,9.7,27.3,13.9,0.4,3.0,19.1,24.4,61454,0,35.69
CO-1,73.8,23.1,CO,D,71.46,11.5,Diana,DeGette,1996,1957,Woman,White - Non-Hispanic,Christian - Presbyterian,No,Re-elected,69.0,23.2,69.0,28.8,70.9,27.6,67.9,27.7,29.0,28.2,68.9,8.2,18.0,2.5,0.6,1.9,47.6,60.5,62718,1,28.54
CO-3,43.5,51.6,CO,R,50.93,95.6,Scott,Tipton,2010,1956,Man,White - Non-Hispanic,Christian - Episcopalian,No,Re-elected,40.0,52.0,45.8,51.8,48.4,49.9,40.3,54.6,58.0,56.5,77.6,0.8,18.3,0.7,1.4,1.2,29.2,34.0,50817,0,50.93
CO-4,39.2,60.8,CO,R,56.67,87.9,Ken,Buck,2014,1959,Man,White - Non-Hispanic,Christian - Protestant,No,Re-elected,34.3,57.4,39.2,58.5,41.9,56.4,31.7,63.5,64.7,61.4,80.1,1.3,15.5,1.3,0.6,1.3,34.9,39.4,67878,0,56.67
CO-5,39.2,57.2,CO,R,56.14,93.5,Doug,Lamborn,2006,1954,Man,White - Non-Hispanic,Christian - Protestant,No,Re-elected,33.2,57.2,38.3,59.1,39.7,58.8,30.9,62.3,59.8,100.0,77.6,5.4,11.6,2.2,0.4,2.8,37.0,40.9,62372,0,56.14
CO-6,54.1,42.9,CO,R,44.39,95.7,Mike,Coffman,2008,1955,Man,White - Non-Hispanic,Christian - Methodist,No,Re-elected,50.2,41.3,51.6,46.5,53.6,44.9,42.6,50.9,51.9,51.1,72.3,8.5,12.3,4.4,0.4,2.1,41.8,49.4,76451,0,44.39
CO-7,60.4,35.5,CO,D,62.49,27.2,Ed,Perlmutter,2006,1953,Man,White - Non-Hispanic,Christian - Methodist,No,Re-elected,51.4,39.4,56.1,41.3,57.4,40.7,55.2,39.8,44.9,43.3,74.3,1.4,19.7,2.7,0.5,1.4,32.5,39.2,66063,0,37.51
CT-1,63.9,35.0,CT,D,67.26,25.0,John,Larson,1998,1948,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,59.4,36.3,63.3,35.6,65.8,32.9,64.1,33.8,36.1,28.5,69.9,12.8,13.1,2.7,0.1,1.4,36.8,42.7,70215,0,32.74
CT-2,62.2,35.4,CT,D,64.74,25.3,Joe,Courtney,2006,1953,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,48.7,45.8,55.9,42.6,58.6,40.0,63.2,33.7,35.5,30.1,86.4,3.5,5.9,2.2,0.2,1.8,35.1,36.3,74784,0,35.26
CT-3,64.5,35.5,CT,D,70.47,19.1,Rosa,DeLauro,1990,1943,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,55.9,40.4,62.6,36.3,62.6,36.2,69.0,31.0,32.9,25.3,73.0,12.3,10.5,2.7,0.2,1.3,36.2,39.9,67774,1,29.53
CT-4,61.2,38.8,CT,D,65.26,27.8,Jim,Himes,2008,1966,Man,White - Non-Hispanic,Christian - Presbyterian,No,Re-elected,59.6,36.6,55.1,44.0,59.6,39.7,59.9,40.1,46.3,40.0,71.4,11.5,12.5,3.6,0.1,0.8,48.8,60.7,94862,0,34.74
DE-1,64.5,35.5,DE,D,61.86,25.8,Lisa,Blunt Rochester,2016,1962,Woman,Black - African-American,Christian - Protestant,No,Open - Ran for governor and won,53.4,41.9,58.6,40.0,61.9,36.9,55.5,41.0,36.8,34.2,70.5,20.6,5.1,2.2,0.3,1.3,31.0,33.8,61757,1,38.14
FL-1,32.9,67.1,FL,R,70.32,81.5,Matt,Gaetz,2016,1982,Man,White - Non-Hispanic,Christian - Baptist,No,Open - Retired,28.2,67.5,30.1,68.5,32.0,66.8,30.9,69.1,70.1,71.9,77.5,12.8,4.5,2.1,0.5,2.5,27.9,30.5,53006,0,70.32
FL-11,34.8,65.1,FL,R,65.18,90.8,Daniel,Webster,2010,1949,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Re-elected,32.5,64.8,39.8,59.2,42.6,56.1,31.6,65.4,64.6,62.0,84.4,6.2,7.3,0.9,0.3,0.9,20.6,21.2,43610,0,65.18
FL-12,39.7,58.1,FL,R,57.64,97.8,Gus,Bilirakis,2006,1963,Man,White - Non-Hispanic,Christian - Orthodox,No,Re-elected,38.8,57.4,45.5,53.0,47.4,51.2,31.4,68.6,65.8,59.4,84.0,3.9,9.0,1.9,0.3,0.9,26.9,26.7,49774,0,57.64
FL-13,57.6,42.4,FL,D,63.09,41.1,Charlie,Crist,2016,1956,Man,White - Non-Hispanic,Christian - Methodist,No,Defeated,49.6,46.4,54.6,43.9,55.5,43.0,51.9,48.1,60.9,42.8,78.1,11.2,6.4,2.8,0.3,1.2,27.8,28.8,48519,0,36.91
FL-16,45.4,54.6,FL,R,53.13,96.6,Vern,Buchanan,2006,1951,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Re-elected,43.0,53.7,45.1,53.7,47.7,51.2,40.2,59.8,66.5,59.1,80.3,7.6,9.4,1.6,0.2,0.9,30.7,33.2,55447,0,53.13
FL-18,45.7,54.3,FL,R,53.96,93.5,Brian,Mast,2016,1980,Man,Hispanic - Mexican,Christian - Protestant,No,Open - Ran for Senate and lost,44.1,53.3,47.7,51.4,51.2,47.9,43.1,53.6,100.0,55.2,76.8,10.7,10.0,1.6,0.2,0.8,30.5,33.6,54913,0,53.96
FL-19,37.7,62.3,FL,R,58.55,96.7,Francis,Rooney,2016,1953,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Open - Retired,37.5,59.6,38.7,60.5,42.3,56.8,34.1,65.9,54.8,63.4,81.6,5.7,10.7,1.2,0.2,0.7,32.3,37.1,54812,0,58.55
FL-2,32.5,67.5,FL,R,66.46,98.9,Neal,Dunn,2016,1953,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Open - Retired/Redistricted,30.6,66.2,34.0,64.6,35.2,63.4,29.9,67.3,0.0,71.2,79.9,12.8,4.3,1.2,0.4,1.3,23.4,24.3,46062,0,66.46
FL-22,62.0,38.0,FL,D,65.16,19.1,Ted,Deutch,2010 Special,1966,Man,White - Non-Hispanic,Jewish,No,Re-elected,56.8,41.0,56.3,43.0,58.3,41.0,58.9,41.1,100.0,40.0,68.7,11.6,15.8,2.5,0.2,1.2,37.9,43.2,60159,0,34.84
