District,Dem2018,Rep2018,state,party,voteshare,TRUMP.SCORE,Inc_fname,Inc_lname,inc_year_elected,inc_birth,inc_gender,inc_race,inc_religion,inc_lgbtq,inc_2016status,Clinton_2016,Trump_2016,Obama_2012,Romney_2012,Obama_2008,McCain_2008,HouseD_2016,HouseR_2016,HouseR_2014,HouseR_2012,White,Black,Latino,Asian,Native,Other,BA,BA_WHite,Med_Income,Inc_F,Rep.forecast
MI-14,81.9,16.3,MI,D,80.37,16.7,Brenda,Lawrence,2014,1954,Woman,Black - African-American,Christian - Protestant,No,Re-elected,79.2,18.3,81.0,18.6,82.2,17.1,78.5,18.7,68.3,16.0,33.5,58.8,2.9,2.6,0.3,2.0,30.8,48.5,42695,1,19.63
MI-2,43.0,55.3,MI,R,53.63,97.8,Bill,Huizenga,2010,1969,Man,White - Non-Hispanic,Christian - Reformed (Calvinist),No,Re-elected,38.2,55.8,43.1,56.0,48.0,50.3,32.5,62.6,68.1,64.1,85.5,5.8,5.3,1.5,0.4,1.6,23.8,25.7,52919,0,53.63
MI-3,42.5,55.1,MI,R,56.66,54.8,Justin,Amash,2010,1980,Man,White - Non-Hispanic,Christian - Orthodox,No,Re-elected,42.2,51.6,45.8,53.1,49.7,48.6,37.5,59.5,45.0,54.4,85.5,7.9,3.7,1.0,0.4,1.5,31.4,33.6,57926,0,56.66
MI-4,37.4,62.6,MI,R,63.23,98.9,John,Moolenaar,2014,1961,Man,White - Non-Hispanic,Christian - Protestant,No,Re-elected,34.7,59.5,45.5,53.5,49.6,48.6,32.1,61.6,66.7,65.3,93.5,1.9,2.3,0.5,0.6,1.2,21.9,21.7,48434,0,63.23
MI-5,59.5,35.9,MI,D,65.13,18.9,Dan,Kildee,2012,1958,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,49.7,45.5,60.7,38.3,63.0,35.3,61.2,35.1,63.5,32.6,77.4,16.3,3.8,0.6,0.3,1.6,19.0,20.4,42800,0,34.87
MI-6,45.7,50.2,MI,R,50.98,95.7,Fred,Upton,1986,1953,Man,White - Non-Hispanic,Christian - Protestant,No,Re-elected,42.9,51.3,48.8,50.2,53.1,45.2,36.4,58.6,66.7,56.2,86.0,7.5,3.4,1.0,0.3,1.8,28.0,29.2,51477,0,50.98
MI-7,46.2,53.8,MI,R,50.72,98.9,Tim,Walberg,"2010, 2006-2008",1951,Man,White - Non-Hispanic,Christian - United Brethren,No,Re-elected,38.7,55.7,47.9,51.0,50.8,47.4,40.0,55.1,67.9,55.4,90.7,4.1,3.1,0.6,0.4,1.1,24.6,24.8,56427,0,50.72
MI-8,50.6,46.8,MI,R,47.3,97.8,Mike,Bishop,2014,1967,Man,White - Non-Hispanic,Christian - Congregationalist,No,Re-elected,43.9,50.6,48.0,51.1,52.0,46.4,39.2,56.0,69.9,61.1,87.2,5.2,3.6,2.1,0.2,1.6,40.6,40.0,66495,0,47.3
MN-2,52.8,47.2,MN,R,46.81,91.1,Jason,Lewis,2016,1955,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Open - Retired,45.3,46.5,49.1,49.0,50.5,47.6,45.2,47.0,55.4,54.1,88.7,3.3,2.8,3.5,0.4,1.3,38.5,40.0,80128,0,46.81
MN-3,55.7,44.3,MN,R,46.93,97.8,Erik,Paulsen,2008,1965,Man,White - Non-Hispanic,Christian - Lutheran,No,Re-elected,50.8,41.4,49.6,48.8,51.0,47.4,43.0,56.7,68.8,58.2,86.8,4.9,1.9,4.8,0.2,1.3,49.0,51.1,84689,0,46.93
MN-4,66.0,29.8,MN,D,67.58,15.4,Betty,McCollum,2000,1954,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,61.5,30.6,62.5,35.5,62.6,35.5,57.8,34.4,45.7,33.6,78.6,7.6,3.7,7.6,0.5,2.0,42.2,47.9,66175,1,32.42
MN-6,38.8,61.2,MN,R,63.28,89.0,Tom,Emmer,2014,1961,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,33.2,58.9,41.5,56.5,43.2,54.7,34.3,65.6,75.4,50.6,93.6,1.6,1.5,1.8,0.4,1.1,29.5,29.7,77049,0,63.28
MN-7,52.1,47.9,MN,D,55.52,67.4,Collin,Peterson,1990,1944,Man,White - Non-Hispanic,Christian - Lutheran,No,Re-elected,31.0,61.8,44.1,53.9,47.1,50.4,52.5,47.4,44.9,36.6,93.4,0.6,2.2,0.5,2.3,1.0,21.8,22.5,52620,0,44.48
MO-1,80.1,16.7,MO,D,78.73,14.3,Lacy,Clay,2000,1956,Man,Black - African-American,Christian - Roman Catholic,No,Re-elected,77.0,18.8,79.9,18.9,80.3,18.6,75.5,20.0,39.4,18.5,46.8,47.8,1.8,1.7,0.2,1.8,31.8,43.4,45172,0,21.27
MO-2,47.1,51.3,MO,R,51.45,96.7,Ann,Wagner,2012,1962,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,42.3,52.6,41.4,57.1,46.4,52.6,37.7,58.5,12.6,61.8,91.1,3.6,1.6,2.6,0.1,0.9,49.2,49.0,79724,1,51.45
MO-3,32.8,65.1,MO,R,66.39,97.8,Blaine,Luetkemeyer,2008,1960,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,28.1,67.1,36.1,62.0,42.8,55.8,27.9,67.8,36.5,65.9,93.5,3.1,1.5,0.6,0.3,1.1,26.4,26.3,61929,0,66.39
MO-4,32.8,64.7,MO,R,62.55,97.8,Vicky,Hartzler,2010,1960,Woman,White - Non-Hispanic,Christian - Evangelical Protestant,No,Re-elected,29.3,65.3,36.4,61.2,41.9,56.5,27.8,67.8,54.0,63.0,90.0,4.6,2.4,0.8,0.4,1.8,23.9,23.8,48065,1,62.55
MO-5,61.6,35.7,MO,D,62.54,17.2,Emanuel,Cleaver,2004,1944,Man,Black - African-American,Christian - Methodist,No,Re-elected,54.1,40.6,58.9,39.4,62.0,36.8,58.8,38.2,68.0,37.9,70.7,21.0,4.9,1.4,0.4,1.6,28.2,32.5,48693,0,37.46
MO-6,32.0,65.4,MO,R,64.53,97.7,Sam,Graves,2000,1963,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Re-elected,31.7,63.1,37.9,60.0,43.1,55.3,28.4,68.0,55.4,66.7,91.0,3.8,2.7,0.9,0.3,1.3,28.6,29.0,58532,0,64.53
MO-7,30.0,66.3,MO,R,67.74,92.9,Billy,Long,2010,1955,Man,White - Non-Hispanic,Christian - Presbyterian,No,Re-elected,24.7,70.4,30.3,67.6,35.3,63.1,27.4,67.5,38.9,67.4,92.5,1.7,2.4,0.9,0.9,1.7,23.2,23.8,44619,0,67.74
MO-8,25.0,73.4,MO,R,69.23,92.2,Jason,Smith,2013 Special,1980,Man,White - Non-Hispanic,Christian - Pentecostal,No,Re-elected,21.0,75.4,32.0,65.9,38.3,60.0,22.7,74.4,59.3,74.6,92.6,4.3,1.2,0.2,0.5,1.2,15.0,15.3,40639,0,69.23
MS-1,32.2,67.1,MS,R,61.82,92.4,Trent,Kelly,2015 Special,1966,Man,White - Non-Hispanic,Christian - Methodist,No,Re-elected,32.4,65.4,37.0,61.9,36.6,62.4,27.9,68.7,19.0,62.1,70.9,26.5,1.5,0.5,0.1,0.5,20.7,22.7,43194,0,61.82
MS-4,29.3,69.6,MS,R,59.18,96.6,Steven,Palazzo,2010,1970,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,28.2,69.4,31.2,67.6,31.1,67.9,27.8,65.0,30.1,69.0,73.0,22.3,2.3,1.1,0.3,1.0,21.1,23.5,45192,0,59.18
MT-1,46.2,50.9,MT,R,50.47,93.2,Greg,Gianforte,2017 Special,1961,Man,White - Non-Hispanic,Christian - Lutheran,No,Re-elected,35.9,56.5,41.7,55.4,47.2,49.6,40.5,56.2,38.4,55.5,89.5,0.4,2.6,0.6,5.4,1.7,31.0,31.9,50027,0,50.47
NC-1,69.8,30.2,NC,D,72.55,19.8,G.K.,Butterfield,2004 Special,1947,Man,Black - African-American,Christian - Baptist,No,Re-elected,67.5,30.5,68.1,31.2,67.4,32.2,68.6,29.0,37.9,30.7,47.8,46.1,2.6,1.3,0.7,1.4,27.7,37.7,40895,0,27.45
NC-10,40.7,59.3,NC,R,61.94,98.9,Patrick,McHenry,2004,1975,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,36.4,61.0,40.4,58.5,41.7,57.5,36.9,63.1,65.7,63.5,83.5,11.7,2.4,1.1,0.3,0.9,24.6,26.5,46508,0,61.94
NC-11,38.7,59.2,NC,R,60.29,90.0,Mark,Meadows,2012,1959,Man,White - Non-Hispanic,Christian - Methodist,No,Re-elected,34.0,63.2,39.1,59.6,41.6,57.1,35.9,64.1,54.4,62.0,91.6,3.1,2.0,0.9,1.3,1.0,24.0,25.2,43855,0,60.29
NC-12,73.0,27.0,NC,D,72.78,15.7,Alma,Adams,2014 Special,1946,Woman,Black - African-American,Christian - Baptist,No,Re-elected,68.4,28.4,67.8,31.3,69.5,31.6,67.0,33.0,0.0,33.0,49.7,39.4,5.6,3.1,0.3,2.0,39.8,52.3,59268,1,27.22
NC-13,45.5,51.6,NC,R,49.34,90.2,Ted,Budd,2016,1971,Man,White - Non-Hispanic,Christian - Nondenominational,No,Open - Seat Eliminated in Redistricting/Lost Primary in NC-02,44.0,53.4,46.1,52.9,48.1,51.2,43.9,56.1,54.8,57.4,72.1,21.9,2.7,1.9,0.4,1.1,27.0,29.6,47440,0,49.34
NC-2,45.7,51.4,NC,R,51.93,92.5,George,Holding,2012,1968,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Re-elected,43.6,53.2,43.0,56.0,44.8,54.3,43.3,56.7,20.0,61.0,72.2,20.5,4.1,1.4,0.5,1.3,36.2,40.5,65792,0,51.93
NC-4,72.3,24.1,NC,D,74.84,17.4,David,Price,"1996, 1986-1994",1940,Man,White - Non-Hispanic,Christian - Baptist,No,Re-elected,68.2,28.2,64.5,34.2,65.8,33.2,68.2,31.8,0.0,32.9,66.0,23.3,3.9,4.9,0.4,1.6,54.5,63.9,70587,0,25.16
NC-5,42.8,57.2,NC,R,56.83,93.5,Virginia,Foxx,2004,1943,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,39.8,57.4,42.3,56.5,44.7,54.3,41.6,58.4,0.0,60.6,80.3,14.4,3.1,0.9,0.3,0.9,26.3,27.7,45001,1,56.83
NC-6,43.4,56.6,NC,R,54.2,92.0,Mark,Walker,2014,1969,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Re-elected,41.4,56.1,43.2,55.9,45.2,53.8,40.8,59.2,0.0,60.1,73.8,20.6,3.1,1.0,0.4,1.1,24.6,28.3,47335,0,54.2
NC-7,42.7,55.6,NC,R,51.65,92.3,David,Rouzer,2014,1972,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Re-elected,39.9,57.6,43.2,55.9,44.8,54.7,39.1,60.9,47.8,60.9,74.7,20.0,2.8,0.6,0.7,1.2,24.9,29.7,45002,0,51.65
NC-8,44.5,55.5,NC,R,54.2,93.1,Richard,Hudson,2012,1971,Man,White - Non-Hispanic,Christian - Protestant,No,Re-elected,41.1,56.1,44.4,54.7,45.4,54.0,41.2,58.8,64.5,59.7,67.6,22.6,5.4,1.5,1.0,1.8,26.5,29.5,50570,0,54.2
NE-1,39.5,60.5,NE,R,60.75,97.8,Jeff,Fortenberry,2004,1960,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,36.2,57.5,40.8,57.5,44.0,54.1,30.5,69.5,68.3,68.3,89.7,2.5,4.2,1.5,0.9,1.2,32.5,33.9,58537,0,60.75
NE-2,48.7,51.3,NE,R,50.69,97.8,Don,Bacon,2016,1963,Man,White - Non-Hispanic,Christian - Protestant,No,Defeated,46.0,48.2,45.7,52.8,49.8,48.6,47.7,48.9,38.7,50.8,82.4,9.1,5.1,1.5,0.4,1.4,39.2,43.7,62621,0,50.69
NE-3,23.3,76.7,NE,R,72.0,95.7,Adrian,Smith,2006,1970,Man,White - Non-Hispanic,Christian - Evangelical Free Church,No,Re-elected,20.0,74.9,27.8,70.2,31.0,66.9,0.0,100.0,55.1,74.2,91.2,0.8,6.0,0.5,0.6,0.9,22.2,23.9,50985,0,72.0
NH-2,55.3,42.5,NH,D,57.64,36.3,Annie,Kuster,2012,1956,Woman,White - Non-Hispanic,Christian - Episcopalian,No,Re-elected,48.6,46.2,54.2,44.5,56.0,43.1,49.8,45.4,98.4,47.5,94.4,0.9,2.2,1.3,0.2,1.1,35.9,35.6,70524,1,42.36
NJ-1,64.5,33.5,NJ,D,67.43,19.1,Donald,Norcross,2014 Special,1958,Man,White - Non-Hispanic,Christian - Lutheran,No,Re-elected,60.6,36.1,65.1,33.8,64.7,34.2,60.0,36.8,61.7,30.5,69.6,16.3,9.1,3.8,0.1,1.2,30.4,33.4,68208,0,32.57
NJ-10,87.5,10.3,NJ,D,84.79,10.6,Donald,Payne,2012 Special,1958,Man,Black - African-American,Christian - Baptist,No,Re-elected,85.2,12.8,87.9,11.5,84.9,14.6,85.7,11.9,59.5,10.8,23.8,54.3,15.0,5.5,0.1,1.2,28.3,48.5,50100,0,15.21
NJ-12,68.5,31.5,NJ,D,72.01,6.5,Bonnie,Watson Coleman,2014,1945,Woman,Black - African-American,Christian - Baptist,No,Re-elected,65.0,31.8,66.5,32.4,65.7,33.3,62.9,32.0,31.8,29.9,58.3,18.4,10.3,11.9,0.1,1.0,45.5,49.1,85744,1,27.99
NJ-3,49.9,48.8,NJ,R,48.44,94.6,Tom,MacArthur,2014,1960,Man,White - Non-Hispanic,Christian - Episcopalian,No,Re-elected,45.2,51.4,51.8,47.2,51.1,47.7,38.9,59.3,71.0,54.5,80.2,9.9,5.4,2.8,0.1,1.6,33.9,34.2,74537,0,48.44
NJ-4,43.0,55.5,NJ,R,53.6,79.3,Chris,Smith,1980,1953,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,41.0,55.8,44.7,54.2,45.3,53.6,33.5,63.7,45.2,64.4,83.6,6.2,5.9,3.4,0.0,0.9,39.6,42.1,78511,0,53.6
NJ-5,55.2,43.5,NJ,D,57.29,54.8,Josh,Gottheimer,2016,1975,Man,White - Non-Hispanic,Jewish,No,Defeated,47.7,48.8,47.9,50.9,48.5,50.5,51.1,46.7,47.1,56.3,76.7,4.7,10.2,7.5,0.1,0.7,47.7,48.1,100219,0,42.71
NJ-6,63.3,36.7,NJ,D,68.46,9.8,Frank,Pallone,1988,1951,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,56.2,40.6,61.4,37.4,58.4,40.5,63.7,34.9,0.0,35.8,60.1,10.4,14.4,14.0,0.1,0.9,38.9,37.3,79229,0,31.54
NJ-7,51.9,47.3,NJ,R,46.05,87.1,Leonard,Lance,2008,1952,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,48.6,47.5,46.3,52.5,47.2,51.6,43.1,54.1,63.2,58.8,79.2,4.7,8.1,7.2,0.0,0.8,51.3,53.1,106896,0,46.05
NJ-8,77.8,19.0,NJ,D,78.78,22.5,Albio,Sires,2006 Special,1951,Man,Hispanic - Cuban,Christian - Roman Catholic,No,Re-elected,75.7,21.5,78.3,20.8,73.2,26.0,77.0,18.5,65.2,19.5,35.0,10.6,46.5,6.5,0.2,1.1,33.1,50.9,57391,0,21.22
NJ-9,70.0,29.2,NJ,D,72.18,20.0,Bill,Pascrell,1996,1937,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,64.3,33.1,68.4,30.8,64.0,35.2,69.7,28.0,20.5,25.3,48.2,11.0,29.3,10.4,0.2,1.0,33.6,41.0,64964,0,27.82
NM-3,63.3,31.2,NM,D,61.25,16.3,Ben Ray,Luján,2008,1972,Man,Hispanic - New Mexican (Hispanos),Christian - Roman Catholic,No,Re-elected,51.8,36.7,57.5,38.7,61.2,37.5,62.4,37.6,68.1,36.9,43.7,1.4,35.9,0.9,16.9,1.2,27.2,42.7,49210,0,38.75
NV-1,66.2,30.9,NV,D,66.27,13.5,Dina,Titus,"2012, 2008-2010",1950,Woman,White - Non-Hispanic,Christian - Orthodox,No,Re-elected,61.6,32.6,65.6,32.4,64.5,33.0,61.9,28.8,31.5,33.2,48.0,12.5,27.3,9.1,0.5,2.5,15.2,19.6,38000,1,33.73
NV-2,41.8,58.2,NV,R,59.35,98.9,Mark,Amodei,2011 Special,1958,Man,White - Non-Hispanic,Christian - Protestant,No,Re-elected,39.7,52.0,44.8,52.9,49.4,48.2,36.9,58.3,63.3,61.4,77.3,1.9,13.0,3.8,2.1,1.9,25.5,28.9,58214,0,59.35
NY-1,45.7,53.2,NY,R,53.68,86.0,Lee,Zeldin,2014,1980,Man,White - Non-Hispanic,Jewish,No,Re-elected,42.2,54.5,49.6,49.1,51.4,47.6,41.0,58.9,66.0,47.5,82.9,4.5,8.8,2.8,0.2,0.8,34.1,36.2,90435,0,53.68
NY-10,81.2,18.8,NY,D,80.47,15.7,Jerry,Nadler,1992 Special,1947,Man,White - Non-Hispanic,Jewish,No,Re-elected,78.3,18.8,73.6,25.0,75.7,23.4,78.0,21.9,66.0,19.2,69.0,4.2,10.7,14.7,0.2,1.3,60.3,71.1,85756,0,19.53
NY-11,52.8,46.8,NY,R,50.92,87.0,Dan,Donovan,2015 Special,1956,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,43.8,53.6,51.6,47.3,48.3,50.9,36.7,61.5,35.9,52.7,68.1,6.7,12.9,11.2,0.1,1.0,34.4,37.8,71072,0,50.92
NY-12,86.2,12.3,NY,D,82.26,15.4,Carolyn,Maloney,1992,1948,Woman,White - Non-Hispanic,Christian - Presbyterian,No,Re-elected,83.3,13.5,76.9,21.5,80.1,18.9,83.1,16.8,67.7,19.4,71.1,4.6,11.9,10.5,0.1,1.7,72.2,80.3,100281,1,17.74
NY-13,94.6,5.4,NY,D,93.12,9.7,Adriano,Espaillat,2016,1954,Man,Hispanic - Dominican,Christian - Roman Catholic,No,Open - Retired,92.3,5.4,94.6,4.6,93.3,6.1,88.6,6.9,66.5,6.5,17.4,29.4,47.5,4.0,0.2,1.6,31.0,71.7,41103,0,6.88
NY-14,78.0,13.8,NY,WOF,4.16,16.1,Joe,Crowley,1998,1962,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,77.7,19.8,80.7,18.3,76.1,23.2,82.8,17.1,58.2,15.3,31.8,12.4,39.9,14.6,0.2,1.1,25.6,39.5,53512,0,95.84
NY-15,96.0,4.0,NY,D,95.86,11.8,José,Serrano,1990 Special,1943,Man,Hispanic - Puerto Rican,Christian - Roman Catholic,No,Re-elected,93.8,4.9,96.7,3.0,94.6,5.2,95.2,3.5,100.0,2.8,3.5,31.7,61.9,1.8,0.3,0.7,12.4,27.7,29234,0,4.14
NY-18,55.1,44.9,NY,D,59.98,34.4,Sean Patrick,Maloney,2012,1966,Man,White - Non-Hispanic,Christian - Roman Catholic,Gay,Re-elected,47.1,49.0,51.4,47.1,52.1,46.9,55.6,44.4,67.2,48.1,75.5,8.7,11.9,2.4,0.2,1.3,35.7,39.1,80493,0,40.02
NY-19,50.2,47.3,NY,R,47.66,89.2,John,Faso,2016,1952,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Open - Retired,44.0,50.8,52.1,45.9,53.0,45.3,45.7,54.2,32.2,52.8,88.8,3.8,5.0,1.1,0.1,1.2,29.2,30.1,59619,0,47.66
NY-2,46.7,53.3,NY,R,52.24,85.7,Pete,King,1992,1944,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,43.9,53.0,51.6,47.2,51.3,47.9,37.5,62.4,70.0,58.6,72.5,9.2,14.6,2.6,0.1,1.0,31.2,35.4,93362,0,52.24
NY-20,66.1,33.9,NY,D,69.58,21.1,Paul,Tonko,2008,1949,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,54.0,40.5,59.2,38.8,58.3,39.8,67.9,32.1,78.6,31.6,82.9,8.2,4.6,2.7,0.1,1.4,38.7,41.1,64226,0,30.42
NY-21,41.8,56.7,NY,R,53.08,89.2,Elise,Stefanik,2014,1984,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,40.0,53.9,52.2,46.1,51.7,46.7,30.1,65.3,70.8,49.0,91.9,3.1,2.7,0.6,0.8,1.0,23.2,23.6,52350,1,53.08
NY-22,50.3,49.7,NY,R,49.81,96.8,Claudia,Tenney,2016,1961,Woman,White - Non-Hispanic,Christian - Presbyterian,No,Open - Retired,39.3,54.8,48.8,49.2,49.1,49.1,41.0,46.5,60.1,60.7,91.3,3.3,2.7,1.4,0.2,1.0,26.0,26.5,52967,1,49.81
NY-23,45.0,55.0,NY,R,53.07,96.6,Tom,Reed,2010 Special,1971,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,39.7,54.5,48.4,49.6,49.6,48.8,42.4,57.6,34.5,51.9,91.6,2.8,2.9,1.2,0.5,1.1,26.1,25.7,48730,0,53.07
NY-24,46.9,53.1,NY,R,53.11,90.2,John,Katko,2014,1962,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,48.9,45.3,57.0,41.1,56.2,42.0,39.4,60.5,70.4,47.0,86.8,7.0,3.1,1.3,0.5,1.3,30.3,31.4,56388,0,53.11
NY-26,73.0,27.0,NY,D,73.7,20.9,Brian,Higgins,2004,1959,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,57.6,38.0,63.9,34.3,63.4,35.0,74.6,25.4,19.6,25.2,75.5,16.5,4.7,1.7,0.3,1.2,30.8,34.1,47358,0,26.3
NY-27,48.4,49.5,NY,R,50.66,98.9,Chris,Collins,2012,1950,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,35.2,59.7,42.9,55.3,44.5,53.9,32.8,67.2,37.6,50.8,93.6,2.5,1.9,0.8,0.6,0.7,30.7,31.0,62698,0,50.66
NY-3,58.4,41.6,NY,D,61.87,33.3,Tom,Suozzi,2016,1962,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Open - Retired,51.6,45.5,50.8,48.2,53.5,45.7,52.8,47.2,39.3,41.8,76.8,2.9,7.3,12.1,0.1,0.8,51.6,53.3,111504,0,38.13
NY-4,61.0,39.0,NY,D,65.68,28.9,Kathleen,Rice,2014,1965,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,53.4,43.8,56.3,42.8,55.3,43.9,59.5,40.4,40.2,34.3,66.6,14.4,12.4,5.6,0.1,0.9,42.5,48.9,100178,1,34.32
NY-9,89.3,10.3,NY,D,83.76,8.7,Yvette,Clarke,2006,1964,Woman,Black - African-American,Christian - African Methodist Episcopal,No,Re-elected,83.5,14.4,85.3,13.8,84.1,15.4,92.3,0.0,37.6,11.5,35.2,47.7,9.8,5.8,0.2,1.2,37.5,62.0,54895,1,16.24
OH-1,46.4,51.8,OH,R,51.24,95.7,Steve,Chabot,"2010, 1994-2008",1953,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,44.6,51.2,46.3,52.4,47.2,51.8,40.8,59.2,62.4,60.6,74.5,20.7,1.4,1.8,0.1,1.3,33.8,37.8,55712,0,51.24
OH-10,41.9,56.2,OH,R,53.15,95.7,Mike,Turner,2002,1960,Man,White - Non-Hispanic,Christian - Presbyterian,No,Re-elected,44.0,51.3,48.2,50.1,49.3,49.3,32.7,64.1,71.2,61.4,78.8,16.4,1.7,1.4,0.1,1.5,27.9,29.3,49988,0,53.15
OH-11,81.9,18.1,OH,D,82.68,15.6,Marcia,Fudge,2008 Special,1952,Woman,Black - African-American,Christian - Baptist,No,Re-elected,80.5,17.0,82.7,16.5,82.0,17.2,80.3,19.7,58.9,0.0,41.6,52.0,3.2,1.5,0.2,1.5,26.8,41.1,35735,1,17.32
OH-12,47.1,51.6,OH,R,49.83,100.0,Troy,Balderson,2018 Special,1962,Man,White - Non-Hispanic,None,No,Re-elected,41.9,53.2,43.9,54.4,44.8,53.7,29.8,66.6,25.5,63.5,90.1,4.4,1.7,2.0,0.1,1.7,41.0,39.9,67415,0,49.83
OH-13,60.8,39.2,OH,D,68.17,21.7,Tim,Ryan,2002,1973,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,51.1,44.6,62.9,35.4,62.3,35.8,67.7,32.3,60.0,27.2,85.0,10.7,2.2,0.6,0.2,1.3,23.7,24.8,42430,0,31.83
OH-14,44.6,55.4,OH,R,53.67,96.8,David,Joyce,2012,1957,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,42.1,53.6,47.6,50.9,49.1,49.4,37.4,62.6,82.8,58.2,92.0,4.2,1.6,1.3,0.1,0.9,34.1,33.9,63362,0,53.67
OH-15,39.5,58.5,OH,R,56.25,98.9,Steve,Stivers,2010,1965,Man,White - Non-Hispanic,Christian - Methodist,No,Re-elected,39.9,55.3,46.3,51.9,46.1,52.2,33.8,66.2,62.4,61.6,92.0,3.8,1.3,1.4,0.1,1.4,31.4,30.8,61514,0,56.25
OH-2,41.0,57.8,OH,R,55.07,95.7,Brad,Wenstrup,2012,1958,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,39.7,55.8,43.7,54.7,44.3,54.2,32.8,65.0,58.3,58.6,88.2,8.2,1.2,0.8,0.2,1.4,32.3,33.1,55472,0,55.07
OH-3,73.3,26.7,OH,D,74.33,18.0,Joyce,Beatty,2012,1950,Woman,Black - African-American,Christian - Baptist,No,Re-elected,67.0,28.6,69.7,28.9,67.4,31.3,68.6,31.4,35.7,27.8,62.0,30.3,2.7,2.0,0.2,2.8,27.8,33.1,45860,1,25.67
